JFJR01012964.1	3
JFJR01013273.1	33
JFJR01013055.1	1190
JFJR01012966.1	9
JFJR01013005.1	11
JFJR01013308.1	14
JFJR01013269.1	15
Scaffold1098	606
Scaffold1096	1701
Scaffold1097	2100
Scaffold1094	1219
JFJR01012259.1	18
JFJR01012960.1	19
Scaffold1093	173
JFJR01013007.1	21
JFJR01012982.1	22
Scaffold348	1835
Scaffold349	2025
Scaffold342	84
Scaffold343	63
Scaffold340	698
Scaffold341	2218
Scaffold346	20
Scaffold347	1569
Scaffold344	78
Scaffold345	1596
JFJR01013338.1	28
JFJR01012692.1	30
JFJR01012962.1	1766
JFJR01013496.1	35
JFJR01013448.1	40
JFJR01012690.1	41
JFJR01013366.1	43
JFJR01013013.1	44
JFJR01012626.1	10
JFJR01013277.1	48
Scaffold128	2048
Scaffold129	1224
Scaffold126	2052
Scaffold127	1189
JFJR01013275.1	54
Scaffold125	1196
Scaffold122	2102
Scaffold123	488
Scaffold120	213
Scaffold121	1062
JFJR01013310.1	58
Scaffold655	1556
Scaffold656	27
Scaffold657	2159
Scaffold650	92
Scaffold651	1542
Scaffold652	6
Scaffold653	1552
Scaffold658	634
Scaffold659	2131
JFJR01012678.1	1779
JFJR01012632.1	699
Scaffold1470	1909
JFJR01012694.1	60
Scaffold1475	151
Scaffold1476	1668
JFJR01011756.1	62
JFJR01013498.1	64
JFJR01012065.1	65
JFJR01013325.1	68
JFJR01012614.1	69
Scaffold1154	2328
JFJR01012612.1	74
JFJR01013051.1	1202
Scaffold1505	1603
Scaffold1500	82
JFJR01012795.1	85
Scaffold1095	2092
Scaffold1092	396
JFJR01013265.1	91
Scaffold1091	161
JFJR01013267.1	510
JFJR01011840.1	100
Scaffold222	2393
Scaffold225	2158
Scaffold1231	2199
Scaffold224	633
JFJR01012721.1	1191
JFJR01013207.1	109
Scaffold229	2126
Scaffold884	1916
JFJR01012895.1	1846
JFJR01013386.1	112
JFJR01013205.1	615
JFJR01012877.1	620
JFJR01013279.1	115
JFJR01013384.1	117
JFJR01012703.1	118
Scaffold435	2020
JFJR01013189.1	120
JFJR01012879.1	122
JFJR01012885.1	711
JFJR01013215.1	127
JFJR01012711.1	128
JFJR01012709.1	130
JFJR01012865.1	132
JFJR01012712.1	1610
Scaffold401	2358
JFJR01012867.1	137
Scaffold400	1427
JFJR01013209.1	138
Scaffold151	2350
Scaffold150	795
Scaffold157	770
JFJR01012719.1	142
JFJR01013331.1	709
JFJR01013546.1	145
Scaffold931	1322
